name;email;document;city;state;start_date
"Daniele Rodrigues Amaral";caio.casanova@serna.net.br;331.050.416-64;"São Andres do Norte";PR;08/04/1981
"Sra. Isadora Laís Colaço";sofia.queiros@hotmail.com;206.995.000-01;"São Otávio do Leste";MT;19/10/1983
"Dr. Cláudia Martines Rios";mary15@uol.com.br;574.262.852-86;"Ramires do Leste";PB;14/05/2010
"Augusto Valente Neto";paola33@lira.com;644.691.689-20;"Espinoza do Sul";SE;29/04/2017
"Raissa Furtado";jguerra@azevedo.br;145.760.260-11;"Porto Nelson";PE;31/03/2005
"Renata Miriam Lozano";icaro55@hotmail.com;322.278.430-20;"Vila Reinaldo";GO;10/04/2007
"Srta. Franciele Oliveira Cordeiro";galcantara@yahoo.com;639.583.956-00;"São Gisela do Leste";RR;12/04/2006
"Srta. Luna Campos Sobrinho";rico.nicolas@r7.com;072.901.019-87;"São Estela do Norte";MG;30/07/2002
"Dr. Tiago Dias";cmaldonado@gmail.com;860.110.370-70;"Santa Eric do Norte";MG;18/09/1980
"Rogério Beltrão Sales";irene18@darosa.net.br;746.666.049-52;"Azevedo do Sul";DF;05/09/2003
"Anderson Moisés Faro Neto";camacho.edson@terra.com.br;726.287.804-29;"Hosana d'Oeste";DF;08/02/1973
"Simão Rios Benez Sobrinho";cpaz@sepulveda.com.br;706.542.434-09;"Vila Sandra";AL;02/02/1982
"Sheila Gusmão Lovato";emanuel.carrara@chaves.com.br;219.176.058-97;"Porto Jorge";MT;26/08/1998
"Maria Rosana Urias";vega.enzo@meireles.com;581.549.810-68;"Aline d'Oeste";DF;01/12/2003
"Sra. Clara Léia Zamana";carvalho.naiara@ig.com.br;300.858.202-88;"Vila Matias";CE;19/11/1974
"Rodrigo Solano";xbalestero@leal.br;032.427.614-13;"Vila Hosana";BA;16/04/2022
"Julieta Noemi Torres Jr.";murilo99@gmail.com;507.624.344-81;"Aranda do Leste";AP;13/10/1978
"Sra. Stefany Chaves Neto";yvelasques@pacheco.com;409.197.813-49;"Yuri d'Oeste";TO;25/05/2015
"Madalena Marília Valdez Filho";cristiano.aragao@uol.com.br;716.704.979-41;"Bella d'Oeste";MT;15/06/1989
"Tainara Vila Soares Jr.";thales.camacho@sandoval.net;485.853.160-04;"Serra do Leste";PE;11/07/1986
"Thalita Yasmin Campos Sobrinho";escobar.milene@bonilha.net;445.512.800-03;"Beltrão do Norte";PA;23/01/2006
"Dr. Nelson Jefferson Ortega";camaral@zamana.com.br;807.081.232-01;"São Pérola";CE;24/03/2019
"Sra. Raquel Agatha Pacheco";flavio.fidalgo@gmail.com;269.176.224-60;"Santiago do Sul";BA;27/10/2003
"Sra. Iasmin Mendes Filho";dearruda.alan@dacruz.net;795.999.310-68;"Delatorre do Norte";RS;18/10/1989
"Viviane Soto";cpacheco@serna.com.br;406.167.315-74;"São George do Leste";RJ;31/01/1996
"Srta. Ingrid Escobar";pvasques@hotmail.com;015.137.784-71;"Porto Alexa do Sul";MA;19/02/2013
"Luciana Bella Sandoval Neto";urias.demian@barros.com.br;713.149.072-55;"Verdara do Norte";RJ;25/07/2019
"Martinho Gusmão Neto";salgado.sandro@yahoo.com;489.812.572-72;"Santa Juliano do Leste";PA;25/03/2003
"Sr. Sérgio Cruz Benites";ylozano@ig.com.br;695.520.565-00;"Vila Lucas";RR;26/06/2002
"Sr. Matheus Fidalgo Guerra";heitor56@perez.com;261.244.649-42;"Santa Jonas";AL;17/10/2003
"Malu Gusmão Jr.";mariana75@colaco.com;151.330.017-20;"Santa Wellington do Sul";MS;21/09/2013
"Janaina Júlia Lira Jr.";cgarcia@r7.com;781.058.932-66;"Vila Sandra";PI;11/02/2013
"Léia de Oliveira Leon Jr.";bruna17@fidalgo.org;563.669.173-45;"Flávia d'Oeste";PI;23/03/2010
"Rebeca Brito Maia";branco.santiago@vale.net.br;201.184.182-89;"Saito do Norte";CE;13/09/1976
"Manoela Garcia Sobrinho";ksaraiva@terra.com.br;164.032.602-27;"Santa Simão do Sul";CE;26/10/2004
"Sra. Noemi Bianca Espinoza Sobrinho";marin.wesley@colaco.com;435.944.748-52;"Edson do Sul";PA;01/04/2006
"Sebastião Souza Paes Jr.";breno67@vale.com.br;359.764.383-34;"Santos do Sul";TO;19/03/1979
"Dr. Ornela Garcia";zamana.james@faria.br;178.658.808-04;"Jasmin do Leste";SE;20/12/2007
"Aaron Santos Rocha Filho";caroline60@r7.com;961.195.107-88;"Vila do Norte";DF;19/04/1972
"Dr. Renata Hortência Franco";benedito87@bonilha.br;425.835.626-30;"Porto Alexa do Sul";AP;26/08/2008
"Dr. Gian Marés";james.mares@ig.com.br;151.997.213-05;"Horácio do Leste";PB;21/08/2008
